control	mutant	uniprot	symbol	logfc	pvalue	fdr	qvalue	score
fad	fx	P63038	Hspd1	0.045217041434412124	0.321852608957272	0.6277295565255967	0.34979263400883887	0.49234296610265393
fad	fx	P70296	Pebp1	0.08011457745508299	0.3221039382447205	0.6277295565255967	0.34979263400883887	0.4920039651911919
fad	fx	Q9Z2H5	Epb41l1	-0.05000712193725809	0.32214424845886086	0.6277295565255967	0.34979263400883887	-0.49194961811207033
fad	fx	Q6ZPE2	Sbf1	-0.04847816241548929	0.32231930131221787	0.6277295565255967	0.34979263400883887	-0.4917136870337306
fad	fx	P35922	Fmr1	-0.050877309487868394	0.3229489322592343	0.6277295565255967	0.34979263400883887	-0.4908661469922953
fad	fx	Q8VE97	Srsf4	0.04968501651822749	0.3233762502554756	0.6277295565255967	0.34979263400883887	0.49029187917836303
fad	fx	P62082	Rps7	-0.06472538907970855	0.32359526526013094	0.6277295565255967	0.34979263400883887	-0.489997841467805
fad	fx	Q9CPR4	Rpl17	-0.060458032433610594	0.324389593264129	0.6282956171771529	0.3501080625946976	-0.48893308682974423
fad	fx	Q6PEB6	Mob4	0.06265685580484347	0.32479304795675457	0.6282956171771529	0.3501080625946976	0.4883932752015885
fad	fx	Q9CR95	Necap1	0.04945325496689234	0.3269040574707881	0.6314985065626505	0.3518928234092006	0.48557968900593246
fad	fx	Q9WV92	Epb41l3	0.06011787310289484	0.328224296191308	0.6331670359072937	0.35282258570622244	0.48382927425406613
fad	fx	Q04447	Ckb	0.04671768649548978	0.3287144852421092	0.6332319319872298	0.35285874804795336	0.48318115773125225
fad	fx	O35639	Anxa3	0.07489642912237661	0.3291720438116961	0.6332338762369245	0.35285983145117183	0.4825770560049391
fad	fx	Q9JI91	Actn2	-0.07404572950405212	0.32993852737306595	0.6338292762693108	0.3531916089554367	-0.4815669683329092
fad	fx	Q6P1F6	Ppp2r2a	-0.05188202881201624	0.330796410646632	0.6345983700786703	0.3536201746436046	-0.48043921146779345
fad	fx	Q8BHN3	Ganab	0.05427780725375047	0.3320023504099504	0.6360321270975156	0.35441911367544876	0.4788588416981975
fad	fx	Q9D2G2	Dlst	0.04608318377436034	0.3324790406031468	0.6360667990573305	0.3544384340914207	0.4782357273151701
fad	fx	Q9CZC8	Scrn1	0.05471726925495499	0.335184053763785	0.6403585159371485	0.35682992726902535	0.47471665092221527
fad	fx	P14152	Mdh1	0.049613935230648776	0.33821081883945725	0.6452522774832561	0.3595569005708701	0.4708125041092817
fad	fx	Q8BMJ2	Lars	-0.059679463796395285	0.3387105801508813	0.6453180970731762	0.35959357752432597	-0.47017123728102583
fad	fx	Q9D6Z1	Nop56	0.05153314319872335	0.3405622908756201	0.646329093414916	0.36015693967554874	0.4678034414329453
fad	fx	P62071	Rras2	-0.062354777805216005	0.34074816230752525	0.646329093414916	0.36015693967554874	-0.46756647768508147
fad	fx	O88741	Gdap1	-0.048838672731499555	0.34187045805505545	0.646329093414916	0.36015693967554874	-0.46613842613523154
fad	fx	O35083	Agpat1	-0.05873484568065454	0.3422324256020095	0.646329093414916	0.36015693967554874	-0.46567884461117826
fad	fx	Q922R8	Pdia6	0.08658885348240446	0.3432144364735335	0.646329093414916	0.36015693967554874	0.46443445290686214
fad	fx	Q7TQF7	Amph	0.04936812344725411	0.343401726562098	0.646329093414916	0.36015693967554874	0.46419752561509414
fad	fx	Q8CGC7	Eprs	-0.05016265489674011	0.34395716365102363	0.646329093414916	0.36015693967554874	-0.4634956409993441
fad	fx	Q99K48	Nono	0.05003472186554714	0.34396852471121225	0.646329093414916	0.36015693967554874	0.4634812962937097
fad	fx	P14733	Lmnb1	0.0710518394366233	0.34419970791237203	0.646329093414916	0.36015693967554874	0.46318950255029145
fad	fx	P32233	Drg1	0.053840090594012936	0.3442582911865809	0.646329093414916	0.36015693967554874	0.4631155913086022
fad	fx	Q9Z140	Cpne6	0.050377940890514186	0.3445856050813957	0.646329093414916	0.36015693967554874	0.4627028689782258
fad	fx	Q8BFU3	Rnf214	0.04931441290455106	0.34483311400651606	0.646329093414916	0.36015693967554874	0.46239103594542985
fad	fx	P24668	M6pr	0.05231736081993574	0.34536586168047584	0.6463457404720245	0.36016621599190823	0.4617205932784683
fad	fx	Q8C729	Fam126b	-0.05363593612502465	0.3457740010311768	0.6463457404720245	0.36016621599190823	-0.4612076647150201
